month,avg_petrol_price_naira_per_litre,avg_bus_fare_naira_per_drop
2022-01,166.4,476.39
2022-02,170.42,500.20
2022-03,185.3,536.35
2022-04,172.61,570.64
2022-05,173.08,582.06
2022-06,175.89,582.61
2022-07,190.01,602.77
2022-08,189.46,602.48
2022-09,191.65,615.69
2022-10,195.29,636.30
2022-11,202.48,637.10
2022-12,206.19,644.65
2023-01,257.12,650.70
2023-02,263.76,647.66
2023-03,264.29,648.16
2023-04,254.06,648.12
2023-05,238.11,649.59
2023-06,545.83,1285.41
2023-07,600.35,1336.29
2023-08,626.7,1336.38
2023-09,626.21,1337.80
2023-10,630.63,1117.30
2023-11,648.93,1047.64
2023-12,671.86,902.70
2024-01,668.3,963.38
2024-02,679.36,951.76
2024-03,696.79,969.32
2024-04,701.24,967.76
2024-05,769.62,976.08
2024-06,750.17,963.58
2024-07,770.54,942.61
2024-08,830.46,869.35
2024-09,1030.46,899.31
2024-10,1184.83,908.15
2024-11,1214.17,904.47
2024-12,1189.12,923.84
2025-01,1258.34,919.42
2025-02,1245.80,943.68
2025-03,1261.65,971.80
2025-04,1239.33,999.27
2025-05,1027.76,1032.46
2025-06,1037.66,1023.08
2025-07,1024.99,1028.44
2025-08,988.25,1045.68
2025-09,970.59,1049.17
2025-10,1052.31,1058.64
2025-11,1061.35,1095.06
2025-12,1048.63,1229.78
2026-01,1034.76,1186.98
2026-02,1051.47,1195.75
2026-03,1288.54,1373.49
2026-04,1532.93,1397.27
2026-05,1596.25,1431.25
